original,matched,method,country
Shambu city,Shambu,suffix,ET
Basyoun,Basyūn,fuzzy,EG
Loitokitok,Oloitokitok,fuzzy,KE
Rhamu,Ramu,fuzzy,KE
El Taref,El Tarf,fuzzy,DZ
Marandallah,Marandala,fuzzy,CI
Nangbolodougou,Ngolodougou,fuzzy,CI
Konolo,Kongolo,fuzzy,CI
Brandberg,Brandenberg,fuzzy,AT
Freinberg,Reinsberg,fuzzy,AT
Fusch an der Großglocknerstraße,Bruck an der Großglocknerstraße,fuzzy,AT
Grabern,Graben,fuzzy,AT
Greinbach,Reinbach,fuzzy,AT
Göming,Going,fuzzy,AT
Kaltenberg,Altenberg bei Linz,fuzzy,AT
Lichtenau im Mühlkreis,Reichenau im Mühlkreis,fuzzy,AT
Neumarkt in der Steiermark,Neumarkt in Steiermark,fuzzy,AT
Rechberg,Rehberg,fuzzy,AT
Sankt Georgen am Längsee,St. Georgen am Längsee,fuzzy,AT
Unterach am Attersee,Unterach (Attersee),fuzzy,AT
Waidhofen an der Thaya-Land,Waidhofen an der Thaya,fuzzy,AT
Weißpriach,Weissbriach,fuzzy,AT
Hunuma,Hunucmá,fuzzy,MX
Ojinaga Municipality,Ojinaga,suffix,MX
Anáhuac Municipality,Anáhuac,suffix,MX
Homún Municipality,Homun,suffix,MX
Colón City,Colón,suffix,PA
Pu'er City,Pu'er,suffix,CN
Taoyuan County,Taoyuan,suffix,CN
Hunjiang City,Baishan,suffix,CN
Lion City,Lyon,suffix,CN
Hailar City,Hailar,suffix,CN
Jiayuguan City,Jiayuguan,suffix,CN
Ansi City,Yuanquan,suffix,CN
Yuyao City,Yuyao,suffix,CN
Yevpatoriia,Yevpatoriya,fuzzy,UA
Vyzhnytsia,Vyzhnytsya,fuzzy,UA
Chekhov-2,Chekhov,fuzzy,RU
Solnechnogorsk-30,Solnechnogorsk,fuzzy,RU
Pionersky,Pionerskiy,fuzzy,RU
Tavrovo,Stavrovo,fuzzy,RU
Mariinsky Posad,Mariinskiy Posad,fuzzy,RU
Chekhov-8,Chekhov,fuzzy,RU
Chekhov-7,Chekhov,fuzzy,RU
Chekhov-1,Chekhov,fuzzy,RU
Alexandrovsk-Sakhalinsky,Aleksandrovsk-Sakhalinskiy,fuzzy,RU
Chekhov-4,Chekhov,fuzzy,RU
Serpukhov-15,Serpukhov,fuzzy,RU
Chekhov-3,Chekhov,fuzzy,RU
Bachatsky,Bachatskiy,fuzzy,RU
Helsinki Region,Helsinki,suffix,FI
Tampere Region,Tampere,suffix,FI
Turku Region,Turku,suffix,FI
Oulu Region,Oulu,suffix,FI
Jyväskylä Region,Jyväskylä,suffix,FI
Kuopio Region,Kuopio,suffix,FI
Lahti Region,Lahti,suffix,FI
Pori Region,Pori,suffix,FI
Inari Region,Inari,suffix,FI
Kittilä Region,Kittilä,suffix,FI
Hanko Region,Hanko,suffix,FI
Porvoo Region,Porvoo,suffix,FI
Rauma Region,Rauma,suffix,FI
Salo Region,Salo,suffix,FI
Vaasa Region,Vaasa,suffix,FI
Rovaniemi Region,Rovaniemi,suffix,FI
Kajaani Region,Kajaani,suffix,FI
Joensuu Region,Joensuu,suffix,FI
Akaa Region,Akaa,suffix,FI
Alajärvi Region,Älajärvi,suffix,FI
Alavieska Region,Alavieska,suffix,FI
Alavus Region,Alavus,fuzzy,FI
Asikkala Region,Asikkala,suffix,FI
Askola Region,Askola,suffix,FI
Aura Region,Aura,suffix,FI
Brändö Region,Kulosaari,suffix,FI
Eckerö Region,Eckerö,suffix,FI
Enonkoski Region,Enonkoski,suffix,FI
Enontekiö Region,Enontekiö,suffix,FI
Eura Region,Eura,suffix,FI
Eurajoki Region,Eurajoki,suffix,FI
Evijärvi Region,Evijärvi,suffix,FI
Finström Region,Finström,suffix,FI
Forssa Region,Forssa,suffix,FI
Föglö Region,Föglö,suffix,FI
Geta Region,Geta,suffix,FI
Haapajärvi Region,Haapajärvi,suffix,FI
Haapavesi Region,Haapajärvi,suffix,FI
Hailuoto Region,Hailuoto,suffix,FI
Halsua Region,Halsua,suffix,FI
Hamina Region,Hamina,suffix,FI
Hammarland Region,Hammarland,suffix,FI
Hankasalmi Region,Hankasalmi,suffix,FI
Harjavalta Region,Harjavalta,suffix,FI
Hartola Region,Hartola,suffix,FI
Hausjärvi Region,Hausjärvi,suffix,FI
Heinola Region,Heinola,suffix,FI
Heinävesi Region,Heinävesi,suffix,FI
Hirvensalmi Region,Hirvensalmi,suffix,FI
Hollola Region,Hollola,suffix,FI
Huittinen Region,Huittinen,suffix,FI
Humppila Region,Humppila,suffix,FI
Hyrynsalmi Region,Hyrynsalmi,suffix,FI
Hyvinkää Region,Hyvinge,suffix,FI
Hämeenkyrö Region,Hämeenkyrö,suffix,FI
Hämeenlinna Region,Hämeenlinna,suffix,FI
Ii Region,Ii,suffix,FI
Iisalmi Region,Iisalmi,suffix,FI
Iitti Region,Iitti,suffix,FI
Ikaalinen Region,Ikaalinen,suffix,FI
Ilmajoki Region,Ilmajoki,suffix,FI
Ilomantsi Region,Ilomantsi,suffix,FI
Imatra Region,Imatra,suffix,FI
Ingå Region,Ingå,suffix,FI
Isojoki Region,Isojoki,suffix,FI
Isokyrö Region,Isokyrö,suffix,FI
Jakobstad Region,Jakobstad,suffix,FI
Janakkala Region,Janakkala,suffix,FI
Jokioinen Region,Jokioinen,suffix,FI
Jomala Region,Jomala,suffix,FI
Joroinen Region,Joroinen,suffix,FI
Joutsa Region,Joutsa,suffix,FI
Juuka Region,Juuka,suffix,FI
Juupajoki Region,Juupajoki,suffix,FI
Juva Region,Juva,suffix,FI
Jämijärvi Region,Jämijärvi,suffix,FI
Jämsä Region,Jämsä,suffix,FI
Järvenpää Region,Järvenpää,suffix,FI
Kaarina Region,Kaarina,suffix,FI
Kaavi Region,Kaavi,suffix,FI
Kalajoki Region,Kalajoki,suffix,FI
Kangasala Region,Kangasala,suffix,FI
Kangasniemi Region,Kangasniemi,suffix,FI
Kankaanpää Region,Kankaanpää,suffix,FI
Kannonkoski Region,Kannonkoski,suffix,FI
Kannus Region,Cannes,suffix,FI
Karijoki Region,Karijoki,suffix,FI
Karkkila Region,Karkkila,suffix,FI
Karstula Region,Karstula,suffix,FI
Karvia Region,Karvia,suffix,FI
Kaskinen Region,Kaskinen,suffix,FI
Kauhajoki Region,Kauhajoki,suffix,FI
Kauhava Region,Kauhava,suffix,FI
Kaustinen Region,Kaustinen,suffix,FI
Keitele Region,Keitele,suffix,FI
Kemi Region,Kemi,suffix,FI
Kemijärvi Region,Kemijärvi,suffix,FI
Keminmaa Region,Keminmaa,suffix,FI
Kempele Region,Kempele,suffix,FI
Kerava Region,Kerava,suffix,FI
Keuruu Region,Keuruu,suffix,FI
Kihniö Region,Kihniö,suffix,FI
Kinnula Region,Kinnula,suffix,FI
Kirkkonummi Region,Kirkkonummi,suffix,FI
Kitee Region,Kitee,suffix,FI
Kiuruvesi Region,Kiuruvesi,suffix,FI
Kivijärvi Region,Kivijärvi,suffix,FI
Kokemäki Region,Kokemäki,suffix,FI
Kokkola Region,Kokkola,suffix,FI
Kolari Region,Kolari,suffix,FI
Konnevesi Region,Konnevesi,suffix,FI
Kontiolahti Region,Kontiolahti,suffix,FI
Korsholm Region,Korsholm,suffix,FI
Korsnäs Region,Korsnäs,fuzzy,FI
Koski Tl Region,Koski Tl,suffix,FI
Kotka Region,Kotka,suffix,FI
Kouvola Region,Kouvola,suffix,FI
Kristinestad Region,Kristinestad,suffix,FI
Kronoby Region,Kronoby,suffix,FI
Kuhmo Region,Kuhmo,suffix,FI
Kuhmoinen Region,Kuhmoinen,suffix,FI
Kumlinge Region,Kumlinge,suffix,FI
Kuortane Region,Kuortane,suffix,FI
Kurikka Region,Kurikka,suffix,FI
Kustavi Region,Kustavi,suffix,FI
Kuusamo Region,Kuusamo,suffix,FI
Kyyjärvi Region,Kyyjärvi,suffix,FI
Kärkölä Region,Kärkölä,suffix,FI
Kärsämäki Region,Kärsämäki,suffix,FI
Kökar Region,Kökar,suffix,FI
Laihia Region,Laihia,suffix,FI
Laitila Region,Laitila,suffix,FI
Lapinjärvi Region,Lapinjärvi,suffix,FI
Lapinlahti Region,Lapinlahti,suffix,FI
Lappajärvi Region,Lappajärvi,suffix,FI
Lappeenranta Region,Lappeenranta,suffix,FI
Lapua Region,Lapua,suffix,FI
Larsmo Region,Larsmo,suffix,FI
Laukaa Region,Laukaa,suffix,FI
Lemi Region,Lemi,suffix,FI
Lemland Region,Lemland,suffix,FI
Lempäälä Region,Lempäälä,suffix,FI
Leppävirta Region,Leppävirta,suffix,FI
Lestijärvi Region,Lestijärvi,suffix,FI
Lieksa Region,Lieksa,suffix,FI
Lieto Region,Lieto,suffix,FI
Liminka Region,Liminka,suffix,FI
Liperi Region,Liperi,suffix,FI
Lohja Region,Lohja,suffix,FI
Loimaa Region,Loimaa,suffix,FI
Loppi Region,Loppi,suffix,FI
Loviisa Region,Lovisa,suffix,FI
Luhanka Region,Luhanka,suffix,FI
Lumijoki Region,Lumijoki,suffix,FI
Lumparland Region,Lumparland,suffix,FI
Luumäki Region,Luumäki,suffix,FI
Malax Region,Malax,suffix,FI
Mariehamn Region,Mariehamn,suffix,FI
Marttila Region,Marttila,suffix,FI
Masku Region,Masku,suffix,FI
Merijärvi Region,Merijärvi,suffix,FI
Merikarvia Region,Merikarvia,suffix,FI
Miehikkälä Region,Miehikkälä,suffix,FI
Mikkeli Region,Mikkeli,suffix,FI
Multia Region,Multia,suffix,FI
Muonio Region,Muonio,suffix,FI
Muurame Region,Muurame,suffix,FI
Mynämäki Region,Mynämäki,suffix,FI
Myrskylä Region,Myrskylä,suffix,FI
Mäntsälä Region,Mäntsälä,suffix,FI
Mäntyharju Region,Mäntyharju,suffix,FI
Naantali Region,Naantali,suffix,FI
Nakkila Region,Nakkila,suffix,FI
Nivala Region,Nivala,suffix,FI
Nokia Region,Nokia,suffix,FI
Nousiainen Region,Nousiainen,suffix,FI
Nurmes Region,Nurmes,fuzzy,FI
Nurmijärvi Region,Nurmijärvi,suffix,FI
Nykarleby Region,Nykarleby,suffix,FI
Närpes Region,Närpes,fuzzy,FI
Orimattila Region,Orimattila,suffix,FI
Oripää Region,Oripää,suffix,FI
Orivesi Region,Orivesi,suffix,FI
Oulainen Region,Oulainen,suffix,FI
Outokumpu Region,Outokumpu,suffix,FI
Padasjoki Region,Padasjoki,suffix,FI
Paimio Region,Paimio,suffix,FI
Paltamo Region,Paltamo,suffix,FI
Pargas Region,Fargo,suffix,FI
Parikkala Region,Parikkala,suffix,FI
Parkano Region,Parkano,suffix,FI
Pedersöre Region,Pedersöre,suffix,FI
Pelkosenniemi Region,Pelkosenniemi,suffix,FI
Pello Region,Pello,suffix,FI
Perho Region,Perho,suffix,FI
Petäjävesi Region,Petäjävesi,suffix,FI
Pieksämäki Region,Pieksämäki,suffix,FI
Pielavesi Region,Pielavesi,suffix,FI
Pihtipudas Region,Pihtipudas,fuzzy,FI
Pirkkala Region,Pirkkala,suffix,FI
Polvijärvi Region,Polvijärvi,suffix,FI
Pomarkku Region,Pomarkku,suffix,FI
Pornainen Region,Pornainen,suffix,FI
Posio Region,Posio,suffix,FI
Pudasjärvi Region,Pudasjärvi,suffix,FI
Pukkila Region,Pukkila,suffix,FI
Punkalaidun Region,Punkalaidun,suffix,FI
Puolanka Region,Puolanka,suffix,FI
Puumala Region,Puumala,suffix,FI
Pyhtää Region,Pyhtää,suffix,FI
Pyhäjoki Region,Pyhäjoki,suffix,FI
Pyhäjärvi Region,Pyhäjärvi,suffix,FI
Pyhäntä Region,Pyhäntä,suffix,FI
Pyhäranta Region,Pyhäranta,suffix,FI
Pälkäne Region,Pälkäne,suffix,FI
Pöytyä Region,Pöytyä,suffix,FI
Raahe Region,Raahe,suffix,FI
Raisio Region,Raisio,suffix,FI
Rantasalmi Region,Rantasalmi,suffix,FI
Ranua Region,Ranua,suffix,FI
Raseborg Region,Raseborg,suffix,FI
Rautalampi Region,Rautalampi,suffix,FI
Rautavaara Region,Rautavaara,suffix,FI
Rautjärvi Region,Rautjärvi,suffix,FI
Reisjärvi Region,Reisjärvi,suffix,FI
Riihimäki Region,Riihimäki,suffix,FI
Ristijärvi Region,Ristijärvi,suffix,FI
Ruokolahti Region,Ruokolahti,suffix,FI
Ruovesi Region,Ruovesi,suffix,FI
Rusko Region,Rusko,suffix,FI
Rääkkylä Region,Rääkkylä,suffix,FI
Saarijärvi Region,Saarijärvi,suffix,FI
Salla Region,Salla,suffix,FI
Saltvik Region,Saltvik,suffix,FI
Sastamala Region,Sastamala,suffix,FI
Sauvo Region,Sauvo,suffix,FI
Savitaipale Region,Savitaipale,suffix,FI
Savonlinna Region,Savonlinna,suffix,FI
Savukoski Region,Savukoski,suffix,FI
Seinäjoki Region,Seinäjoki,suffix,FI
Sievi Region,Sievi,suffix,FI
Siikainen Region,Siikainen,suffix,FI
Siikajoki Region,Siikajoki,suffix,FI
Siilinjärvi Region,Siilinjärvi,suffix,FI
Simo Region,Simo,suffix,FI
Sipoo Region,Sibbo,suffix,FI
Siuntio Region,Siuntio,suffix,FI
Sodankylä Region,Sodankylä,suffix,FI
Soini Region,Soini,suffix,FI
Somero Region,Somero,suffix,FI
Sonkajärvi Region,Sonkajärvi,suffix,FI
