insee,nom,score,reseau,n_manquants,parametres_manquants
27514,SAINT-AUBIN-DU-THENNEY,,,7,Ca Hardness (mg/L CaCO3) | Alcalinite (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
27552,SAINT-JEAN-DU-THENNEY,,,7,Ca Hardness (mg/L CaCO3) | Alcalinite (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
39004,ABERGEMENT-LES-THESY,0.0,SIAEP DE CENTRE EST ARESCHES,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
97601,ACOUA,0.1183,BOUYOUNI OUEST,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
27014,AMFREVILLE-SUR-ITON,0.0,ACQUIGNY OUEST,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
19009,ANGLES-SUR-CORREZE (LES),0.5173,LA BITARELLE - LES ANGLES (UDI),6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
15007,ANTERRIEUX,0.3243,LES VERGNES,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
2B020,AREGNO,0.784,ILE ROUSSE BAS COTIER,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
70027,ARGILLIERES,0.0,SIAEP DU VANNON HAUT SERVICE,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
49011,ARTANNES-SUR-THOUET,0.2814,DOUESSIN,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
58013,ARTHEL,0.0,GIRY,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
45011,ATTRAY,0.0,ATTRAY,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
21036,AUXANT,0.0,"SIAEP D'ARNAY, R. DE THOISY LE D.",6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
21042,BAGNOT,0.0,"SIAEP DE SEURRE, R. GLANON NORD",6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
59048,BANTIGNY,0.0,CUVILLERS,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
71030,BERGESSERIN,0.0,HAUTE GROSNE-SAONE GROSNE,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
27057,BERNIENVILLE,0.0,QUITTEBEUF,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
27061,BERTHOUVILLE,0.0,FONTAINE LA SORET,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
58029,BEUVRON,0.0,CHEVANNES-CHANGY,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
39060,BOIS-DE-GAND,0.0,SIE 3 RIVIÈRES - SECTEUR COLONNE,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
27071,BOIS-HELLAIN (LE),0.0,BEUZEVILLE SUD,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
27074,BOISNEY,0.0,FONTAINE LA SORET,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
14087,BONNOEIL,0.0,PIERREFITTE,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
06021,BONSON,0.0,RESEAU PLAN DU VAR,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
27099,BOULAY-MORIN (LE),0.0,EPN BROSVILLE,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
71050,BOURGVILAIN,0.0,HAUTE GROSNE-SAONE GROSNE,6,Ca Hardness (mg/L CaCO3) | pH | TDS (mg/L) | Sodium (mg/L) | Chlorures (mg/L) | Chlore libre (mg/L)
